,trial_num,jspsychID,stimulus,time_elapse,causal_rating,animacy_rating,cause_rt,anim_rt,trial_rt,subject_id,vid_num,outcome,cf,agent
0,1,mh46p2b523yy1qu,14_p_out_out.mp4,94265.0,100,100,6681.5999999996275,10141.0,10952.699999999255,7,14,out,out,inanimate
1,2,mh46p2b523yy1qu,16_a_out_out.mp4,132102.0,21,100,34845.90000000037,15766.800000000745,36082.0,7,16,out,out,animate
2,3,mh46p2b523yy1qu,23_a_out_in.mp4,150682.0,82,100,9083.799999998882,15836.5,16574.699999999255,7,23,out,in,animate
3,4,mh46p2b523yy1qu,18_p_out_out.mp4,169449.0,1,30,14967.5,17985.900000000373,18512.800000000745,7,18,out,out,inanimate
4,5,mh46p2b523yy1qu,08_a_in_in.mp4,180499.0,1,68,5761.0,9469.0,10536.800000000745,7,08,in,in,animate
5,1,bht4czhyag645lg,02_p_in_out.mp4,89978.0,100,100,23199.900000035763,24866.5,25487.80000001192,8,02,in,out,inanimate
6,6,mh46p2b523yy1qu,21_a_out_in.mp4,200582.0,38,100,17915.200000001118,19047.5,19578.200000001118,7,21,out,in,animate
7,7,mh46p2b523yy1qu,04_p_in_out.mp4,211953.0,100,55,4658.300000000745,9570.0,10117.200000001118,7,04,in,out,inanimate
8,2,bht4czhyag645lg,20_a_out_in.mp4,104776.0,1,100,11023.199999988079,12363.099999964237,13030.099999964237,8,20,out,in,animate
9,3,bht4czhyag645lg,03_a_in_out.mp4,117438.0,100,100,9331.199999988079,10579.199999988079,11155.199999988079,8,03,in,out,animate
10,8,mh46p2b523yy1qu,08_p_in_in.mp4,228175.0,1,8,9340.199999999255,14883.099999999627,15718.099999999627,7,08,in,in,inanimate
11,4,bht4czhyag645lg,12_a_in_in.mp4,127832.0,1,100,6897.0,8467.0,9138.900000035763,8,12,in,in,animate
12,9,mh46p2b523yy1qu,21_p_out_in.mp4,246286.0,75,5,8652.800000000745,16148.800000000745,16606.700000001118,7,21,out,in,inanimate
13,5,bht4czhyag645lg,15_p_out_out.mp4,147170.0,1,1,16253.900000035763,18160.0,18835.0,8,15,out,out,inanimate
14,1,26g5jp57pvqxkau,18_a_out_out.mp4,125462.0,1,100,20273.79999999702,37417.20000000298,38506.29999999702,9,18,out,out,animate
15,10,mh46p2b523yy1qu,02_p_in_out.mp4,262358.0,95,64,9609.900000000373,15034.799999998882,15569.299999998882,7,02,in,out,inanimate
16,11,mh46p2b523yy1qu,05_a_in_out.mp4,270948.0,100,100,3180.4000000003725,4478.300000000745,8084.9000000003725,7,05,in,out,animate
17,6,bht4czhyag645lg,07_p_in_in.mp4,164397.0,1,1,12195.5,14900.600000023842,15474.400000035763,8,07,in,in,inanimate
18,2,26g5jp57pvqxkau,17_a_out_out.mp4,144468.0,1,100,11187.90000000596,14834.40000000596,18502.20000000298,9,17,out,out,animate
19,7,bht4czhyag645lg,12_p_in_in.mp4,174622.0,1,1,7627.199999988079,9298.399999976158,9965.199999988079,8,12,in,in,inanimate
20,12,mh46p2b523yy1qu,11_a_in_in.mp4,299303.0,41,100,26389.099999999627,16176.099999999627,27600.0,7,11,in,in,animate
21,8,bht4czhyag645lg,13_p_out_out.mp4,192724.0,100,1,9850.800000011921,17063.80000001192,17849.899999976158,8,13,out,out,inanimate
22,13,mh46p2b523yy1qu,11_p_in_in.mp4,311571.0,44,57,8977.400000000373,10426.400000000373,11014.5,7,11,in,in,inanimate
23,3,26g5jp57pvqxkau,24_a_out_in.mp4,183196.0,28,100,33434.5,37207.0,37725.0,9,24,out,in,animate
24,9,bht4czhyag645lg,23_p_out_in.mp4,210137.0,100,1,14407.300000011921,15796.300000011921,16405.30000001192,8,23,out,in,inanimate
25,14,mh46p2b523yy1qu,05_p_in_out.mp4,319948.0,100,1,4116.699999999255,5665.5,7123.699999999255,7,05,in,out,inanimate
26,15,mh46p2b523yy1qu,12_a_in_in.mp4,336314.0,42,77,7514.300000000745,14168.800000000745,15105.199999999255,7,12,in,in,animate
27,10,bht4czhyag645lg,10_p_in_in.mp4,235950.0,1,1,5712.300000011921,10523.5,24804.5,8,10,in,in,inanimate
28,16,mh46p2b523yy1qu,12_p_in_in.mp4,349229.0,43,42,6327.800000000745,10914.5,11409.599999999627,7,12,in,in,inanimate
29,4,26g5jp57pvqxkau,04_p_in_out.mp4,215985.0,82,1,27785.69999999553,31846.89999999851,32535.5,9,04,in,out,inanimate
30,17,mh46p2b523yy1qu,03_a_in_out.mp4,355561.0,100,100,4116.0,5310.199999999255,5828.299999998882,7,03,in,out,animate
31,11,bht4czhyag645lg,07_a_in_in.mp4,248200.0,1,100,6718.399999976158,10104.5,10746.399999976158,8,07,in,in,animate
32,18,mh46p2b523yy1qu,07_a_in_in.mp4,368513.0,1,100,7920.5999999996275,11206.599999999627,11685.599999999627,7,07,in,in,animate
33,5,26g5jp57pvqxkau,15_p_out_out.mp4,239062.0,15,12,15733.39999999851,20730.29999999702,21323.19999999553,9,15,out,out,inanimate
34,19,mh46p2b523yy1qu,24_a_out_in.mp4,384639.0,89,100,15045.0,11465.800000000745,15620.900000000373,7,24,out,in,animate
35,6,26g5jp57pvqxkau,23_a_out_in.mp4,251604.0,70,100,9024.40000000596,10138.60000000149,10538.90000000596,9,23,out,in,animate
36,12,bht4czhyag645lg,04_p_in_out.mp4,279624.0,100,1,26880.899999976158,28623.899999976158,29670.80000001192,8,04,in,out,inanimate
37,20,mh46p2b523yy1qu,01_p_in_out.mp4,394468.0,42,64,4403.0999999996275,8311.900000000373,8824.0,7,01,in,out,inanimate
38,13,bht4czhyag645lg,24_a_out_in.mp4,291531.0,100,100,9743.800000011921,3933.699999988079,10652.800000011921,8,24,out,in,animate
39,21,mh46p2b523yy1qu,20_a_out_in.mp4,404822.0,89,100,4911.199999999255,8885.0,9350.299999998882,7,20,out,in,animate
40,14,bht4czhyag645lg,01_a_in_out.mp4,298964.0,100,100,4862.700000047684,5826.600000023842,6416.700000047684,8,01,in,out,animate
41,7,26g5jp57pvqxkau,21_a_out_in.mp4,282550.0,69,100,24349.60000000149,28947.30000000447,29442.40000000596,9,21,out,in,animate
42,15,bht4czhyag645lg,10_a_in_in.mp4,308751.0,1,100,5902.200000047684,7062.0,7784.200000047684,8,10,in,in,animate
43,22,mh46p2b523yy1qu,07_p_in_in.mp4,419654.0,1,23,10127.5,12407.799999998882,13577.89999999851,7,07,in,in,inanimate
44,23,mh46p2b523yy1qu,14_a_out_out.mp4,426640.0,100,100,4112.89999999851,5215.0,6231.799999998882,7,14,out,out,animate
45,8,26g5jp57pvqxkau,18_p_out_out.mp4,297230.0,1,1,10665.70000000298,12820.89999999851,14178.20000000298,9,18,out,out,inanimate
46,16,bht4czhyag645lg,22_a_out_in.mp4,322092.0,1,100,10716.799999952316,11891.0,12587.899999976158,8,22,out,in,animate
47,24,mh46p2b523yy1qu,02_a_in_out.mp4,442069.0,51,100,11355.099999999627,12671.199999999255,13425.099999999627,7,02,in,out,animate
48,17,bht4czhyag645lg,18_a_out_out.mp4,340955.0,1,100,16546.80000001192,18018.69999998808,18608.69999998808,8,18,out,out,animate
49,9,26g5jp57pvqxkau,09_p_in_in.mp4,316922.0,22,37,10236.60000000149,18244.5,18688.5,9,09,in,in,inanimate
50,25,mh46p2b523yy1qu,09_a_in_in.mp4,452969.0,59,100,6985.5999999996275,8825.400000000373,9647.300000000745,7,09,in,in,animate
51,18,bht4czhyag645lg,16_a_out_out.mp4,347594.0,1,100,4413.599999964237,5834.800000011921,6386.699999988079,8,16,out,out,animate
