session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
61562a4d9a137d6820928b3d,615613f7f140994341ee32c7,RETURNED,2021-09-30 21:21:21.401000,,512509.863429,26,0,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61562a4f9477699ad2e43dd1,6156164b37cb71ada4cf81e0,RETURNED,2021-09-30 21:21:33.839000,,512497.444417,19,20,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61562aa50d11ec5a9b4ddf8d,6155ddc570c0d3fb8dc073bf,RETURNED,2021-09-30 21:22:56.918000,,512414.381842,33,53,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61562b0790257ed817b948c0,5f944b975182422408a62fd7,RETURNED,2021-09-30 21:35:00.061000,,511691.25655,19,20,1,95,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61562b21d06db214647a2b1e,614ea79a73605e6e5235ac00,RETURNED,2021-09-30 21:25:04.549000,,512286.784013,23,0,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61562b53760ad69fcffd3b32,6155adf4ee138fa287c8c688,APPROVED,2021-09-30 21:25:41.434000,2021-09-30 21:41:57.655000,976.221,25,9,0,100,2021-09-30 22:00:05.016000,875B6695,Switzerland,Switzerland,Part-Time,German,"Arabic, English, French, German",Switzerland,Male,Yes
61562c21d05027c24b4b5ba1,61449eff050fc96f21c41d9e,TIMED-OUT,2021-09-30 21:29:20.494000,,512030.877096,19,5,0,100,,,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,English,South Africa,Female,Yes
61562c28ad267c1f319e2ba5,61561dc057352a0550edbcb0,APPROVED,2021-09-30 21:29:14.655000,2021-09-30 21:54:43.054000,1528.399,36,18,0,100,2021-09-30 22:00:32.524000,875B6695,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
61562c2c8dbf9043824b1c0f,61537cec23950ded33bf5f08,APPROVED,2021-09-30 21:29:19.650000,2021-09-30 21:47:29.142000,1089.492,19,5,1,96,2021-09-30 22:00:41.579000,875B6695,Mexico,Mexico,Part-Time,Spanish,English,Mexico,Male,Yes
61562ca2be77fceb338489b7,60f444db4f842c8481892e90,RETURNED,2021-09-30 21:31:20.022000,,511911.402602,20,1,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61562cbeba5b96efd9bd971f,614dbd2ae118e61a2c1439b8,APPROVED,2021-09-30 21:32:26.355000,2021-09-30 21:50:32.913000,1086.558,19,5,1,96,2021-09-30 22:17:16.093000,875B6695,South Africa,South Africa,Part-Time,DATA EXPIRED,"Afrikaans, English",South Africa,Female,Yes
61562cfbf13176fe4e72a1de,6150e9356f2eee4187fa6f7d,APPROVED,2021-09-30 21:32:52.100000,2021-09-30 22:03:42.541000,1850.441,19,7,0,100,2021-09-30 22:39:37.771000,875B6695,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,English,South Africa,Male,Yes
61562d255c200d3c1faf4e9e,5f1723a2c7874703ccd2572a,APPROVED,2021-09-30 21:33:36.259000,2021-09-30 21:55:27.297000,1311.038,23,32,0,100,2021-09-30 22:18:25.196000,875B6695,Poland,Poland,Other,Polish,"Polish, English",Poland,Male,Yes
61562d32f5f62d357a1fea64,61545f2b9362200fc179741a,RETURNED,2021-09-30 21:44:00.412000,,511151.090867,22,2,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61562d7fa2a2c147028d91de,61561c859a3024c925ed6577,RETURNED,2021-09-30 21:38:52.645000,,511458.874119,24,7,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61562d98b120534e0d091fe1,61477fd6bf3410092abf263a,APPROVED,2021-09-30 21:35:22.208000,2021-09-30 21:49:56.076000,873.868,18,4,0,100,2021-09-30 22:17:23.847000,875B6695,Poland,Poland,"Not in paid work (e.g. homemaker', 'retired or disabled)",Polish,"English, Polish",Poland,Male,Yes
61562db0e63e15381972d433,614f6401e65e0fcb5c496b8b,APPROVED,2021-09-30 21:35:48.590000,2021-09-30 21:56:23.454000,1234.864,18,10,0,100,2021-09-30 22:01:32.053000,875B6695,Mexico,Mexico,Unemployed (and job seeking),Spanish,"English, French, Spanish",Mexico,Female,Yes
61562db81e42b0e89598beb9,6143f6b68ee536f27a212a5a,APPROVED,2021-09-30 21:36:00.784000,2021-09-30 21:52:26.946000,986.162,22,6,0,100,2021-09-30 22:17:59.439000,875B6695,Mexico,Mexico,Unemployed (and job seeking),Spanish,"Spanish, English",Mexico,Male,Yes
61562dbebf61f8bc50a04e7d,6154f3944aafae35e9e26b36,APPROVED,2021-09-30 21:36:08.729000,2021-09-30 22:22:40.232000,2791.503,28,5,0,100,2021-09-30 22:39:35.370000,NOCODE,Mexico,Mexico,Full-Time,Spanish,English,Mexico,Male,Yes
61562dd58d505b023ba5de35,6154c53864d43781adc63a77,APPROVED,2021-09-30 21:36:29.499000,2021-09-30 22:01:53.913000,1524.414,43,8,0,100,2021-09-30 22:16:22.199000,875B6695,Portugal,Portugal,Part-Time,Portuguese,"Portuguese, Spanish, English",Portugal,Female,No
61562de7bf2e6dd5a7b9c875,6154d3944980f4d6f10b3d70,APPROVED,2021-09-30 21:36:54.349000,2021-09-30 22:03:14.292000,1579.943,21,9,0,100,2021-09-30 22:39:25.270000,875B6695,United States,Mexico,Part-Time,Spanish,"Spanish, English",Mexico,Female,Yes
61562deee6ad83fcc85054c2,61468dd883d26912b23e2779,APPROVED,2021-09-30 21:36:55.719000,2021-09-30 22:08:55.859000,1920.14,24,4,0,100,2021-09-30 22:17:34.049000,NOCODE,Mexico,Mexico,Part-Time,Spanish,"English, Spanish",Mexico,Male,No
61562df964b9901fe6d7e809,61532487add5797a18c05059,APPROVED,2021-09-30 21:37:05.492000,2021-09-30 21:56:16.371000,1150.879,20,7,0,100,2021-09-30 22:00:49.888000,875B6695,Algeria,Spain,Unemployed (and job seeking),Spanish,"Arabic, English, French, Portuguese, Spanish",Spain,Male,Yes
61562df97454727ae5c0c3ea,6151cde4bdc097d35bb750f5,RETURNED,2021-09-30 21:37:06.204000,,511565.49386,28,5,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61562dfa513fdc2bcce125b2,6156224e96766ed304ed593e,RETURNED,2021-09-30 21:37:04.746000,,511566.972234,51,6,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61562e51f18f721dfbac24ab,61548a52f504471d4e3cc8cb,APPROVED,2021-09-30 21:38:30.131000,2021-09-30 22:03:28.526000,1498.395,18,8,1,97,2021-09-30 22:39:23.429000,NOCODE,Spain,Spain,Unemployed (and job seeking),Spanish,"English, Spanish",Spain,Male,Yes
61562f4364b5214bcffe31ed,6155ac634e6e2e6fb8fe9cd4,RETURNED,2021-09-30 21:43:26.142000,,511185.61734,23,4,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61562fad467785154708fc57,60fd27bcb420a9033cc9642b,RETURNED,2021-09-30 21:48:27.803000,,510883.97494,20,9,1,87,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61562fed467785154708fc62,60f09e8d836fb8fd1e90a271,APPROVED,2021-09-30 21:45:19.021000,2021-09-30 22:10:39.101000,1520.08,18,12,1,94,2021-09-30 22:18:10.195000,NOCODE,Latvia,Latvia,Other,Latvian,"English, Latvian",Latvia,Male,Yes
6156333addaf1f2bef8656cb,61532f7c1d2d0ad71c723e7b,APPROVED,2021-09-30 21:59:25.383000,2021-09-30 22:28:26.989000,1741.606,22,10,0,100,2021-09-30 22:31:10.001000,875B6695,Portugal,Portugal,Unemployed (and job seeking),Portuguese,"English, Portuguese, Spanish",Portugal,Female,Yes
6156335bbc232182a564ea23,6155e4518a157d5218e46a3b,APPROVED,2021-09-30 21:59:55.187000,2021-09-30 22:13:33.943000,818.756,21,8,0,100,2021-09-30 22:31:07.257000,875B6695,Slovakia,Netherlands,Other,Slovak,"Slovak, Czech, English",Slovakia,Male,Yes
615633e8f5d2b5ff7c3a75e7,6153c59c85cc4386651341d4,APPROVED,2021-09-30 22:02:37.953000,2021-09-30 22:33:11.732000,1833.779,25,13,0,100,2021-09-30 22:37:57.378000,875B6695,Mexico,Mexico,Unemployed (and job seeking),Spanish,"English, Spanish",Mexico,Male,Yes
6156417b3769fb48bcbb9b7d,5f08d10e832baa145af0284a,APPROVED,2021-09-30 23:04:26.792000,2021-09-30 23:21:33.859000,1027.067,22,71,0,100,2021-10-01 16:57:13.165000,875B6695,Mexico,Mexico,DATA EXPIRED,Spanish,"Spanish, English",Mexico,Male,DATA EXPIRED
