session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
61563d902585231289656fe2,614a35c6add3d34fbb0fd2be,APPROVED,2021-09-30 22:45:13.851000,2021-09-30 23:01:20.642000,966.791,21,2,1,94,2021-10-01 17:05:16.507000,NOCODE,Slovenia,Slovenia,Other,Slovenian,"English, Slovenian",Slovenia,Male,Yes
61563dc941f03df6570fc834,61552c3c65c5d5e1870a2814,APPROVED,2021-09-30 22:44:41.871000,2021-09-30 23:00:42.809000,960.938,29,4,0,100,2021-10-01 16:59:23.378000,875B6695,New Zealand,New Zealand,Part-Time,English,English,New Zealand,Male,Yes
61563e9413efefba568c8778,6144be2608e5cf13171f0a7b,APPROVED,2021-09-30 22:49:09.585000,2021-09-30 23:09:20.483000,1210.898,23,3,0,100,2021-10-01 17:05:18.681000,875B6695,South Africa,South Africa,"Not in paid work (e.g. homemaker', 'retired or disabled)",DATA EXPIRED,"Afrikaans, English",South Africa,Female,Yes
61563f738322afce02cb2f86,5fbb0453be0cdb981ee08854,APPROVED,2021-09-30 22:51:31.558000,2021-09-30 23:17:28.240000,1556.682,27,12,1,97,2021-10-01 17:06:29.235000,875B6695,Mexico,Mexico,Unemployed (and job seeking),Spanish,"English, Spanish",Mexico,Female,No
6156402e3dc369fb39d48543,614a4887fd7dbb495e09ba96,APPROVED,2021-09-30 22:54:42.408000,2021-09-30 23:17:07.674000,1345.266,21,4,0,100,2021-10-01 17:05:12.125000,NOCODE,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,English,South Africa,Female,Yes
6156406fcedba1669286ab50,61472bb61111b1fab79928ca,RETURNED,2021-09-30 22:56:07.045000,,506675.743899,20,3,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6156408b62b760ff1a0594f9,613ace7054d1e8136610319c,APPROVED,2021-09-30 22:56:15.191000,2021-09-30 23:13:54.824000,1059.633,24,7,0,100,2021-10-01 17:05:54.846000,875B6695,Mexico,Mexico,Part-Time,Spanish,"Spanish, English",Mexico,Female,No
615640b8659fd393e8ca791c,615635bce2029a9cdd0dd814,RETURNED,2021-09-30 22:56:58.709000,,506624.126001,24,1,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
615640e0c1cb4c8348da68b4,6151f17fa8e520d2ba325b9e,APPROVED,2021-09-30 22:57:44.346000,2021-09-30 23:36:29.091000,2324.745,21,11,0,100,2021-10-01 17:01:19.958000,875B6695,South Africa,South Africa,Part-Time,DATA EXPIRED,English,South Africa,Female,Yes
61564101612c86559e7c56e0,613f8622afc3159b95d83ee1,APPROVED,2021-09-30 22:58:43.516000,2021-09-30 23:28:39.191000,1795.675,32,5,0,100,2021-10-01 17:05:19.783000,875B6695,Mexico,Mexico,Unemployed (and job seeking),Spanish,"English, Spanish",Mexico,Female,No
61564101f18a3ca33dc91c11,6156114f01b0d68531a511a0,APPROVED,2021-09-30 22:58:09.691000,2021-09-30 23:10:44.496000,754.805,20,4,0,100,2021-10-01 16:58:54.963000,875B6695,Mexico,Mexico,Unemployed (and job seeking),Spanish,"English, Spanish",Mexico,Female,Yes
61564133ee2d8496081af91a,614b82fdf5b2a4d881e6e4c9,APPROVED,2021-09-30 22:59:13.095000,2021-09-30 23:27:57.650000,1724.555,22,8,0,100,2021-10-01 17:05:00.337000,875B6695,Mexico,Mexico,Unemployed (and job seeking),Spanish,"English, Spanish",Mexico,Female,Yes
615641539692e98e0d1f6e15,61466a9b26c5985a58b104de,APPROVED,2021-09-30 22:59:40.737000,2021-09-30 23:34:49.707000,2108.97,33,3,0,100,2021-10-01 17:05:18.147000,875B6695,Mexico,Mexico,Other,Spanish,"English, Spanish",Mexico,Female,No
615641634a106bdaf32bbe6d,61558ace15174a63223292e1,RETURNED,2021-09-30 22:59:50.146000,,506452.816972,33,1,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6156416398448eab7ebf2d62,614e33d39fa5395c5daf48d5,APPROVED,2021-09-30 22:59:47.592000,2021-09-30 23:12:47.415000,779.823,43,3,0,100,2021-10-01 17:04:59.211000,875B6695,Iceland,Iceland,Full-Time,Icelandic,"English, Icelandic",Iceland,Male,No
61564177ee17ea5b665825a4,61560c5fa05b0b290128a716,APPROVED,2021-09-30 23:04:47.168000,2021-10-01 00:13:13.854000,4106.686,22,2,0,100,2021-10-01 16:59:03.012000,875B6695,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,English,South Africa,Female,Yes
6156418968d8143ddf5fd817,6155d0dc56ada6eb28257198,RETURNED,2021-09-30 23:00:36.042000,,506406.981639,19,0,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
615641bc3af300ecb097a752,61537cec23950ded33bf5f08,APPROVED,2021-09-30 23:01:16.034000,2021-09-30 23:24:20.244000,1384.21,19,5,1,96,2021-10-01 17:00:42.815000,875B6695,Mexico,Mexico,Part-Time,Spanish,English,Mexico,Male,Yes
615641ec9071ccdcaa58d820,61537d9393a3a4c9cb3873f7,APPROVED,2021-09-30 23:02:04.169000,2021-09-30 23:14:44.591000,760.422,20,6,0,100,2021-10-01 17:00:39.527000,875B6695,Mexico,Mexico,Part-Time,Spanish,"Spanish, English",Mexico,Male,Yes
